SN,ProjectName,Registration Number,Authorised Name,Promoter Name,Project Type,District,Tehsil,Approved Date,Proposed End Date,Extended Proposed End Date,Website,View Certificate,Details,Map 
"
                                                                454 
                                                            ",RAMA WORLD PHASE -III,"
PCGRERA040718000457
",RAJEEV AGRAWAL,ZODIAC DEALERS PVT. LTD.,Plotted Development,BILASPUR,BILASPUR,04 Jul 2018,"
                                                                09 Sep 2021
                                                            ",09 Jun 2022,"


","
 Expired
","
 
","
 
"
"
                                                                455 
                                                            ",WALLFORT VALLEY,"
 **
PCGRERA050718000458
",PANKAJ MOOLCHAND LAHOTI,WALLFORT PROPERTIES PRIVATE LIMITED,Plotted Development,RAIPUR,ABHANPUR,05 Jul 2018,"
                                                                31 Mar 2020
                                                            ",30 Sep 2020,"


","
 
","
 
","
 
"
"
                                                                456 
                                                            ",SWARNABHOOMI PROJECT (PHASE-I),"
PCGRERA050718000459
",RAJESH AGRAWAL,FORTUNE RESOURCES PRIVATE LIMITED,Group Housing,RAIPUR,RAIPUR,05 Jul 2018,"
                                                                31 May 2020
                                                            ",25 Jun 2022,"


","
 Expired
","
 
","
 
"
"
                                                                457 
                                                            ",PLANET CITY PHASE -3,"
 **
PCGRERA050718000460
",AMIT AHUJA,MARS COLONIZERS PRIVATE LIMITED,Plotted Development,RAIPUR,ABHANPUR,05 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                458 
                                                            ",ASSET TOWN,"
PCGRERA050718000461
",MAHENDRA ANAND,ANAND CONSTRUCTIONS,Group Housing,RAIPUR,RAIPUR,05 Jul 2018,"
                                                                30 Jun 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                459 
                                                            ",OM RAJ ENCLAVE,"
PCGRERA050718000462
",ARVIND BANSAL,ARVIND BANSAL,Group Housing,RAIPUR,RAIPUR,05 Jul 2018,"
                                                                31 Dec 2020
                                                            ",30 Sep 2021,"


","
 Expired
","
 
","
 
"
"
                                                                460 
                                                            ",RAMA WORLD PHASE -I,"
PCGRERA050718000463
",RAJEEV AGRAWAL,ZODIAC DEALERS PVT. LTD.,Group Housing,BILASPUR,BILASPUR,05 Jul 2018,"
                                                                29 May 2020
                                                            ",06 Oct 2022,"


","
 
","
 
","
 
"
"
                                                                461 
                                                            ",NAYA RAIPUR MUKHYAMANTRI AWAS YOJNA PMAY SECTOR-34,"
PCGRERA050718000464
",DILIP RATHI,CHHATTISGARH HOUSING BOARD CPD-1 ,Group Housing,RAIPUR,ABHANPUR,05 Jul 2018,"
                                                                31 Mar 2020
                                                            ",04 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                462 
                                                            ",SHREEJI K. HEIGHTS,"
 **
PCGRERA050718000465
",ANANT SINGH,SHREEJI INFRASTRUCTURE INDIA PVT. LTD.,Commercial,RAIPUR,RAIPUR,05 Jul 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                463 
                                                            ",HARSHIT ICON CITY,"
PCGRERA050718000466
",SUBODH SINGHANIA,SINGHANIA BUILDCON PRIVATE LIMITED,Plotted Development,RAIPUR,SIMGA,05 Jul 2018,"
                                                                14 Dec 2023
                                                            ",14 Sep 2024,"


","
 
","
 
","
 
"
"
                                                                464 
                                                            ",GT EDEN COURT,"
 **
PCGRERA050718000467
",GAJENDRA SINGH RAJPAL,GT REALITY PVT. LTD.,Group Housing,BILASPUR,BILASPUR,05 Jul 2018,"
                                                                31 Oct 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                465 
                                                            ",SAI SHARDHA,"
 **
PCGRERA050718000468
",SUNIL KUMAR,RAMS BUILDERS AND DEVELOPERS,Group Housing,RAIPUR,RAIPUR,05 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                466 
                                                            ",SAI SIMRAN PURENA,"
 **
PCGRERA050718000469
",SUNIL KUMAR AHUJA,RAMS BUILDERS AND DEVELOPERS,Group Housing,RAIPUR,RAIPUR,05 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                467 
                                                            ",QUORUM,"
 **
PCGRERA050718000470
",VIVEK SHAH,ARAVALI INFRA PROJECTS PVT. LTD.,Commercial,RAIPUR,RAJIM,05 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                468 
                                                            ",KRISHNA VALLEY,"
 **
PCGRERA050718000471
",SUNIL KUMAR SULTANIA,LAKSHYA INFRASTRUCTURES PVT. LTD.,Plotted Development,RAIGARH,RAIGARH,05 Jul 2018,"
                                                                30 Sep 2020
                                                            ",30 Mar 2021,"


","
 
","
 
","
 
"
"
                                                                469 
                                                            ",USHA UPVAN,"
 **
PCGRERA050718000472
",GHANSHYAM SHUKLA,ISHA INFRASTRUCTURE PRIVATE LIMITED,Group Housing,BILASPUR,TAKHATPUR,05 Jul 2018,"
                                                                31 May 2020
                                                            ",30 Nov 2020,"


","
 
","
 
","
"
"
                                                                470 
                                                            ",MOSAIC BUSINESS & COMMUNITY CENTRE,"
PCGRERA050718000473
",ARVIND AGRAWAL,MOSAIC INFRAVENTURES PVT. LTD.,Commercial,RAIPUR,RAIPUR,05 Jul 2018,"
                                                                31 Mar 2022
                                                            ",30 Dec 2022,"


","
 
","
 
","
 
"
"
                                                                471 
                                                            ",ROYAL RESIDENCY PHASE -II,"
PCGRERA060718000474
",VISHWAS GUPTA,SUYASH BUILDCON,Group Housing,DURG,DURG,06 Jul 2018,"
                                                                01 Mar 2023
                                                            ",01 Dec 2023,"


","
 
","
 
","
 
"
"
                                                                472 
                                                            ",PRITHVI GREENS PHASE -II,"
 **
PCGRERA060718000475
",GIRDHAR SONI,GIRDHAR LAL SONI,Plotted Development,MUNGELI,MUNGELI,06 Jul 2018,"
                                                                31 Dec 2020
                                                            ",30 Jun 2021,"


","
 
","
 
","
 
"
"
                                                                473 
                                                            ",ROYAL RESIDENCY PHASE -I,"
 **
PCGRERA060718000476
",VISHWAS GUPTA,SUYASH BUILDCON,Plotted Development,DURG,DURG,06 Jul 2018,"
                                                                01 Mar 2021
                                                            ",01 Dec 2021,"


","
 
","
 
","
 
"
"
                                                                474 
                                                            ",ATAL VIHAR YOJNA SHRIRAM NAGAR,"
PCGRERA060718000477
",S.K. THAKUR,CHHATTISGARH HOUSING BOARD DIVISION-KONDAGAON,Group Housing,KANKER,KANKER,06 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                475 
                                                            ",SAI SIMRAN BHAWNA NAGAR,"
 **
PCGRERA060718000478
",SUNIL KUMAR AHUJ,RAMS BUILDERS AND DEVELOPERS,Group Housing,RAIPUR,RAIPUR,06 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                476 
                                                            ",AVINASH CAPITAL HOMES -I,"
 **
PCGRERA060718000479
",ANAND SINGHANIA,AVINASH DEVELOPERS PVT. LTD.,Group Housing,RAIPUR,RAIPUR,06 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                477 
                                                            ",SOLUS HEIGHTS (PHASE-I),"
 **
PCGRERA060718000480
",SANDEEP KUMAR SHARMA,SUN AND SUN INFRAMETRIC PRIVATE LIMITED,Group Housing,RAIPUR,RAIPUR,06 Jul 2018,"
                                                                30 Sep 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                478 
                                                            ",SOLUS HEIGHTS (PHASE-II),"
 **
PCGRERA060718000481
",SANDEEP KUMAR SHARMA,SUN AND SUN INFRAMETRIC PRIVATE LIMITED,Group Housing,RAIPUR,RAIPUR,06 Jul 2018,"
                                                                30 Sep 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                479 
                                                            ","DOLPHIN JEWEL ""O""","
PCGRERA060718000482
",HARMEET SINGH HORA,DOLPHIN PROMOTERS & BUILDERS,Group Housing,RAIPUR,RAIPUR,06 Jul 2018,"
                                                                31 Dec 2020
                                                            ",30 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                480 
                                                            ",SKY GARDEN,"
 **
PCGRERA060718000483
",ASHISH AHLUWALIA,SHALIMAR CONSTRUCTION,Group Housing,RAIPUR,RAIPUR,06 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                481 
                                                            ",AMALTAS PURAM,"
 **
PCGRERA060718000484
",AMAL CHOUBEY,PRAYAS CREATORS DEVELOPERS PRAMOTERS,Plotted Development,DHAMTARI,DHAMTARI,06 Jul 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                482 
                                                            ","SAPPHIRE GREENS PHASE -II ""C""","
PCGRERA060718000485
",MANOJ S LAHORI,SAINATH BUILDERS AND COLONISERS,Plotted Development,RAIPUR,RAIPUR,06 Jul 2018,"
                                                                17 Oct 2023
                                                            ",17 Jul 2024,"


","
 
","
 
","
 
"
"
                                                                483 
                                                            ",GALAXY NU TOWN,"
PCGRERA070718000486
",NARENDRA AGRAWAL,BAL KISHAN LAND DEVELOPER PVT. LTD.,Plotted Development,RAIPUR,RAIPUR,07 Jul 2018,"
                                                                30 Apr 2020
                                                            ",30 Oct 2020,"


","
 Expired
","
 
","
 
"
"
                                                                484 
                                                            ",NAYA RAIPUR MUKHYAMANTRI AWAS YOJNA PMAY SECTOR-16,"
PCGRERA070718000487
",DILIP RATHI,CHHATTISGARH HOUSING BOARD CPD-1 ,Group Housing,RAIPUR,ARANG,07 Jul 2018,"
                                                                31 Mar 2020
                                                            ",04 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                485 
                                                            ",HARSH BHOOMI,"
PCGRERA070718000488
",SUBODH SINGHANIA,SINGHANIA GOEL BUILDCON,Plotted Development,RAIPUR,DHARSIWA,07 Jul 2018,"
                                                                31 May 2024
                                                            ",28 Feb 2025,"


","
 
","
 
","
 
"
"
                                                                486 
                                                            ",AKS SMART CITY,"
PCGRERA070718000489
",KAMAL CHAND JAIN,AKS INFRATECH,Plotted Development,DURG,PATAN,07 Jul 2018,"
                                                                31 Mar 2020
                                                            ",27 Feb 2023,"


","
 
","
 
","
 
"
"
                                                                487 
                                                            ",RAHEJA ARTH,"
 **
PCGRERA070718000490
",DEEPAK RAHEJA,DEEPAK RAHEJA,Group Housing,RAIPUR,RAIPUR,07 Jul 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                488 
                                                            ",LOTUS CITY PHASE - 2,"
 **
PCGRERA070718000491
",SUNIL SAHU,SWASTIK DEVELOPERS,Plotted Development,DURG,PATAN,07 Jul 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                489 
                                                            ",GOBIND NAGAR,"
 **
PCGRERA070718000492
",JASVINDER SINGH BHATIA,JASVINDER SINGH BHATIA,Plotted Development,RAJNANDGAON,RAJNANDGAON,07 Jul 2018,"
                                                                30 Jun 2020
                                                            ",30 Dec 2020,"


","
 
","
 
","
 
"
"
                                                                490 
                                                            ",NAYA RAIPUR MUKHYAMANTRI AWAS YOJNA PMAY SECTOR-30,"
PCGRERA070718000493
",DILIP RATHI,CHHATTISGARH HOUSING BOARD CPD-1 ,Group Housing,RAIPUR,ARANG,07 Jul 2018,"
                                                                31 Jan 2019
                                                            ",04 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                491 
                                                            ",MAHADEV VATIKA PHASE 2,"
 **
PCGRERA070718000494
",TIKAM CHAND PRITWANI,COLOUR CONSTRUCTION,Plotted Development,DURG,DURG,07 Jul 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                492 
                                                            ",MAHADEV VATIKA PHASE 1,"
 **
PCGRERA070718000495
",TIKAM CHAND PRITWANI,COLOUR CONSTRUCTION,Plotted Development,DURG,PATAN,07 Jul 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                493 
                                                            ",HARSHIT NEO CITY,"
PCGRERA070718000496
",SUBODH SINGHANIA,HARSHIT SINGHANIA BUILDCON,Group Housing,DURG,PATAN,07 Jul 2018,"
                                                                31 May 2021
                                                            ",28 Feb 2022,"


","
 Expired
","
 
","
 
"
"
                                                                494 
                                                            ",ARCHEE ICON CITY,"
PCGRERA070718000497
",SUBODH SINGHANIA,SINGHANIA BUILDCON PRIVATE LIMITED,Plotted Development,RAIPUR,SIMGA,07 Jul 2018,"
                                                                15 Nov 2022
                                                            ",15 Aug 2023,"


","
 
","
 
","
 
"
"
                                                                495 
                                                            ",AANANDAM APARTMENT,"
 **
PCGRERA070718000498
",NEERAJ PATEL,NEERAJ PATEL AND MAKKHAN SINGH DHANJAL,Group Housing,KORBA,KORBA,07 Jul 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                496 
                                                            ",EMERALD HOMES (AKS WORLD CITY),"
 **
PCGRERA070718000499
",KAMAL CHAND JAIN,AKS INFRATECH,Plotted Development,DURG,PATAN,07 Jul 2018,"
                                                                31 Mar 2020
                                                            ",30 Sep 2020,"


","
 
","
 
","
 
"
"
                                                                497 
                                                            ",R EMINENCE MALL,"
 **
PCGRERA070718000500
",RAGHAVENDRA CHANDRAKAR,GAURAV PROMOTERS AND BUILDERS,Commercial,RAIPUR,RAIPUR,07 Jul 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                498 
                                                            ",FRIENDS CLUB,"
 **
PCGRERA070718000501
",ANAND SURANA,ATALMAN INDIA PVT. LTD.,Plotted Development,RAIPUR,RAIPUR,07 Jul 2018,"
                                                                10 Feb 2020
                                                            ",10 Nov 2021,"


","
 
","
 
","
 
"
"
                                                                499 
                                                            ",ROYAL RESIDENCY,"
PCGRERA090718000502
",SURYAKANT TIWARI,BAJRANG BALI BUILDERS,Plotted Development,RAIPUR,ARANG,09 Jul 2018,"
                                                                31 Jul 2022
                                                            ",30 Apr 2023,"


","
 
","
 
","
 
"
"
                                                                500 
                                                            ","VIP CITY, SECTOR -03","
PCGRERA090718000503
",RAKESH PANDEY,RAKESH PANDEY,Plotted Development,RAIPUR,RAIPUR,09 Jul 2018,"
                                                                31 Mar 2023
                                                            ",30 Dec 2023,"


","
 
","
 
","
 
"
"
                                                                501 
                                                            ",SHRI RAM TOWERS,"
 **
PCGRERA090718000504
",RAGHAVENDRA CHANDRAKAR,GAURAV PROMOTERS AND BUILDERS,Group Housing,RAIPUR,RAIPUR,09 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                502 
                                                            ",GOLDEN SKY II,"
 **
PCGRERA090718000505
",NAVIN KUMAR NAGWANI,AMISHA IN SKY CREATIONS,Group Housing,RAIPUR,RAIPUR,09 Jul 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                503 
                                                            ","GENERAL HOUSING SCHEME, SEJBAHAR","
PCGRERA090718000506
",SANTOSH KUMAR GUPTA,CHHATTISGARH HOUSING BOARD DIVISION-04 RAIPUR,Group Housing,RAIPUR,RAIPUR,09 Jul 2018,"
                                                                30 Jun 2023
                                                            ",30 Mar 2024,"


","
 
","
 
","
 
"
"
                                                                504 
                                                            ","ATAL VIHAR YOJNA, URLA","
PCGRERA090718000507
",SANTOSH KUMAR GUPTA,CHHATTISGARH HOUSING BOARD DIVISION-04 RAIPUR,Group Housing,RAIPUR,ABHANPUR,09 Jul 2018,"
                                                                31 May 2023
                                                            ",29 Feb 2024,"


","
 
","
 
","
 
"
"
                                                                505 
                                                            ","ATAL VIHAR YOJNA, GOBRA NAWAPARA","
PCGRERA090718000508
",SANTOSH KUMAR GUPTA,CHHATTISGARH HOUSING BOARD DIVISION-04 RAIPUR,Group Housing,RAIPUR,ABHANPUR,09 Jul 2018,"
                                                                31 May 2023
                                                            ",29 Feb 2024,"


","
 
","
 
","
 
"
"
                                                                506 
                                                            ",ARYAPOLIS,"
 **
PCGRERA090718000509
",SANJAY KUMAR JHA,ARYA CONSTRUCTION PVT. LTD.,Group Housing,RAIPUR,RAIPUR,09 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                507 
                                                            ","ATAL VIHAR YOJNA, ARANG","
PCGRERA090718000510
",SANTOSH KUMAR GUPTA,CHHATTISGARH HOUSING BOARD DIVISION-04 RAIPUR,Group Housing,RAIPUR,ARANG,09 Jul 2018,"
                                                                31 May 2023
                                                            ",29 Feb 2024,"


","
 
","
 
","
 
"
"
                                                                508 
                                                            ","AIS COLONY, SERIKHEDI","
 **
PCGRERA090718000511
",SANTOSH KUMAR GUPTA,CHHATTISGARH HOUSING BOARD DIVISION-04 RAIPUR,Group Housing,RAIPUR,RAIPUR,09 Jul 2018,"
                                                                30 Jun 2022
                                                            ",30 Dec 2022,"


","
 
","
 
","
"
"
                                                                509 
                                                            ","ATAL AWAS YOJANA, GANDAI","
 **
PCGRERA090718000512
",CS BELCHANDAN,E.E. C.G.H.B. DIV. RAJNANDGAON (C.G.),Group Housing,RAJNANDGAON,RAJNANDGAON,09 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                510 
                                                            ",ZEENAT VIHAR II,"
 **
PCGRERA100718000513
",SYED AKBAR BAKSHI,ZEENAT CONSTRUCTIONS,Plotted Development,BILASPUR,BILASPUR,10 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                511 
                                                            ",GOKUL DHAM PROJECT,"
PCGRERA100718000514
",RAJESH DEVNANI,SATGURU INFRAPROJECTS,Plotted Development,KANKER,KANKER,10 Jul 2018,"
                                                                30 Jun 2023
                                                            ",30 Mar 2024,"


","
 
","
 
","
 
"
"
                                                                512 
                                                            ",RUKMANI VIHAR,"
PCGRERA100718000515
",ASHOK KUMAR AGRAWAL,RUKMANI INFRASTRUCTURE PVT. LTD.,Plotted Development,RAIGARH,RAIGARH,10 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                513 
                                                            ",GOKULDHAM,"
PCGRERA100718000516
",PRAVEEN AGRAWAL,OM SAI BUILDERS & DEVELOPERS,Plotted Development,RAIGARH,RAIGARH,10 Jul 2018,"
                                                                31 Dec 2021
                                                            ",30 Sep 2022,"


","
 
","
 
","
 
"
"
                                                                514 
                                                            ",GANPATI HEIGHTS,"
 **
PCGRERA100718000517
",VIJAY KUMAR PANJWANI,GANPATI DEVELOPERS,Mixed Development,RAIPUR,RAIPUR,10 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                515 
                                                            ",JAIDEV VENTURES,"
PCGRERA120718000518
",DEVWRAT SINGH,JAI DEV VENTURES,Plotted Development,RAJNANDGAON,KHAIRAGARH,12 Jul 2018,"
                                                                30 Jun 2020
                                                            ",30 Dec 2020,"


","
 Expired
","
 
","
"
"
                                                                516 
                                                            ",CRYSTAL GREEN PHASE- II,"
 **
PCGRERA130718000519
",INDERPAL SINGH BHATIA,BHATIA VATIKA,Plotted Development,RAIGARH,RAIGARH,13 Jul 2018,"
                                                                31 Dec 2022
                                                            ",30 Jun 2023,"


","
 
","
 
","
 
"
"
                                                                517 
                                                            ",CRYSTAL GREEN PHASE- I,"
 **
PCGRERA130718000520
",INDERPAL SINGH BHATIA,BHATIA VATIKA,Plotted Development,RAIGARH,RAIGARH,13 Jul 2018,"
                                                                31 Dec 2020
                                                            ",30 Jun 2021,"


","
 
","
 
","
 
"
"
                                                                518 
                                                            ","VIP CITY, SECTOR -06","
PCGRERA130718000521
",RAKESH PANDEY,RAKESH PANDEY,Plotted Development,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Mar 2023
                                                            ",30 Dec 2023,"


","
 
","
 
","
 
"
"
                                                                519 
                                                            ","VIP HEIGHTS, VIP CITY","
PCGRERA130718000522
",RAKESH PANDEY,RCP INFRATECH PVT LTD,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Mar 2023
                                                            ",30 Dec 2023,"


","
 
","
 
","
 
"
"
                                                                520 
                                                            ","HOUSING PROJECTS, VIP CITY","
PCGRERA130718000523
",RAKESH PANDEY,RCP INFRATECH PVT LTD,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Mar 2023
                                                            ",30 Dec 2023,"


","
 
","
 
","
 
"
"
                                                                521 
                                                            ",AVANI AVENUE,"
PCGRERA130718000524
",VIJAY NATHANI,VGR REAL ESTATE,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 May 2023
                                                            ",29 Feb 2024,"


","
 
","
 
","
 
"
"
                                                                522 
                                                            ",OMSHRI KINGS COURT,"
 **
PCGRERA130718000525
",SATISH KUMAR JAIN,MONIKA BUILDERS AND DEVELOPERS,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                523 
                                                            ",CLASSIC HOMES,"
 **
PCGRERA130718000526
",VIKAS AGRAWAL,APEXX REAL INFRAS PVT. LTD.,Plotted Development,RAIGARH,RAIGARH,13 Jul 2018,"
                                                                31 Mar 2020
                                                            ",30 Sep 2020,"


","
 
","
 
","
 
"
"
                                                                524 
                                                            ",RIDDHI SIDDHI LOTUS PARK SECTOR-2,"
PCGRERA130718000527
",SATISH KUMAR JAIN,MONIKA BUILDERS AND DEVELOPERS,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                525 
                                                            ",CITY CENTER,"
 **
PCGRERA130718000528
",RAMKUMAR SAHU,BRICEM BUILDCON,Commercial,KORBA,KORBA,13 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                526 
                                                            ","GENERAL HOUSING SCHEME, DUMARTARAI PHASE-01","
 **
PCGRERA130718000529
",SANDEEP SAHU,EXECUTIVE ENGINEER CHHATTISGARH HOUSING BOARD DIVISION 02 RAIPUR,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                527 
                                                            ",VASTU SUMAN,"
PCGRERA130718000530
",SUSHITAL FOUZDAR,VASTUBHOOMI REAL ESTATE (I) PVT. LTD.,Plotted Development,BILASPUR,TAKHATPUR,13 Jul 2018,"
                                                                31 Dec 2021
                                                            ",30 Sep 2022,"


","
 
","
 
","
 
"
"
                                                                528 
                                                            ",SHIVALAYA PARK,"
PCGRERA130718000531
",SUNIL KUMAR KHETAN,SHIVALAYA PARK,Plotted Development,RAIPUR,ARANG,13 Jul 2018,"
                                                                30 Jun 2024
                                                            ",30 Mar 2025,"


","
 
","
 
","
 
"
"
                                                                529 
                                                            ",METRO GREENS,"
PCGRERA130718000532
",RANJAN NATHANI,METRO INFRASTRUCTURES,Group Housing,RAIPUR,DHARSIWA,13 Jul 2018,"
                                                                30 Jun 2023
                                                            ",30 Mar 2024,"


","
 
","
 
","
 
"
"
                                                                530 
                                                            ",RETAIL COMPLEX,"
 **
PCGRERA130718000533
",VISHWAS RAO MESHRAM,NAYA RAIPUR DEVELOPMENT AUTHORITY,Commercial,RAIPUR,ARANG,13 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                531 
                                                            ",J V G CHHAYA,"
PCGRERA130718000534
",PRAMOD KUMAR AGRAWAL,JVG BUILDERS,Plotted Development,RAIGARH,RAIGARH,13 Jul 2018,"
                                                                31 Jul 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                532 
                                                            ",RIDDHI SIDDHI LOTUS PARK SECTOR-2,"
PCGRERA130718000535
",SATISH KUMAR JAIN,MONIKA BUILDERS AND DEVELOPERS,Plotted Development,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                533 
                                                            ",SHREEJI K. PHASE- II,"
 **
PCGRERA130718000536
",MUKESH SINGH,SHREEJI BUILDCON INDIA PVT. LTD.,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                534 
                                                            ",A.T. CLASSIC,"
PCGRERA130718000537
",NITIN KUMAR BARDIA,A T BUILDCON PVT. LTD.,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Mar 2023
                                                            ",30 Dec 2023,"


","
 
","
 
","
 
"
"
                                                                535 
                                                            ",RHEA RESIDENCY,"
PCGRERA130718000538
",PANKAJ HEMRAJANI,RHEA BUILDERS,Group Housing,RAIPUR,RAIPUR,13 Jul 2018,"
                                                                31 Jul 2018
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                536 
                                                            ","HARSHIT LANDMARK (PHASE-I, BLOCK -A&B)","
 **
PCGRERA160718000539
",SUBODH SINGHANIA,SINGHANIA BUILDCON PRIVATE LIMITED,Group Housing,RAIPUR,RAIPUR,16 Jul 2018,"
                                                                30 Nov 2020
                                                            ",30 Aug 2021,"


","
 
","
 
","
 
"
"
                                                                537 
                                                            ",PURWA GREEN CITY,"
 **
PCGRERA160718000540
",RAN NARAYAN MISHRA,PURWA DEVELOPERS,Mixed Development,BILASPUR,BILASPUR,16 Jul 2018,"
                                                                05 Feb 2020
                                                            ",-,"


","
 
","
 
","
"
"
                                                                538 
                                                            ",ATAL VIHAR YOJNA SARGAWAN,"
PCGRERA160718000541
",G.P. PRAJAPATI,CHHATTISGARH HOUSING BOARD DIVISION-AMBIKAPUR,Group Housing,SURGUJA,AMBIKAPUR,16 Jul 2018,"
                                                                30 Nov 2023
                                                            ",30 Aug 2024,"


","
 
","
 
","
 
"
"
                                                                539 
                                                            ",BIMAL AVENUE,"
PCGRERA160718000542
",BIMAL KUMAR AGRAWAL,B.K. DEVELOPERS,Plotted Development,RAIPUR,RAIPUR,16 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
"
"
                                                                540 
                                                            ",UMDA GREENS,"
PCGRERA160718000543
",SANJAY AGRAWAL,SSS REALITY BUILDERS,Plotted Development,DURG,PATAN,16 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
"
"
                                                                541 
                                                            ",DHAROHAR,"
PCGRERA160718000544
",KANTILAL PATEL,SHAH & PATEL AGRICULTURE PVT. LTD.,Plotted Development,RAIPUR,ARANG,16 Jul 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                542 
                                                            ",SANJAY HEIGHTS,"
PCGRERA160718000545
",MRITANJAY JAISWAL,JAI BROTHERS,Group Housing,BILASPUR,BILASPUR,16 Jul 2018,"
                                                                31 Mar 2021
                                                            ",30 Dec 2021,"


","
 Expired
","
 
","
 
"
"
                                                                543 
                                                            ",GOLDEN TRADE CENTER,"
 **
PCGRERA160718000546
",PRASHANT NAGWANI,NAVKAR ASSOCIATES,Commercial,RAIPUR,RAIPUR,16 Jul 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                544 
                                                            ",SHREEJE V3 BALAJI GREENS,"
PCGRERA160718000547
",VIKAS PARAKH,V.V. BUILDERS,Group Housing,RAIPUR,RAIPUR,16 Jul 2018,"
                                                                31 Mar 2023
                                                            ",30 Dec 2023,"


","
 
","
 
","
 
"
